file_upload,band_label,y1,y2,pixels_in_band,g_top,g_top_count,g_top_pct
ce64ff03-www-digitalocean-com.png,['Footer'],7934,8136,290880,250,287250,0.9875206270627063
dd85dfe8-www-docker-com.png,['Banner'],0,41,59040,8,52320,0.8861788617886179
dd85dfe8-www-docker-com.png,['Nav'],40,123,119520,112,61406,0.5137717536813923
dd85dfe8-www-docker-com.png,['Header'],125,1161,1491840,255,772431,0.5177706724581724
dd85dfe8-www-docker-com.png,['Main'],1159,6774,8085600,255,2536121,0.3136589739784308
dd85dfe8-www-docker-com.png,['Supplement'],6773,7360,845280,244,592434,0.7008730834752981
dd85dfe8-www-docker-com.png,['Footer'],7360,7504,207360,244,191748,0.9247106481481482
58776508-www-elastic-co.png,['Banner'],0,40,57600,255,45070,0.7824652777777777
58776508-www-elastic-co.png,['Nav'],39,121,118080,255,64748,0.548340108401084
58776508-www-elastic-co.png,['Header'],118,1175,1522080,255,1066553,0.7007207242720488
58776508-www-elastic-co.png,['Main'],1175,6456,7604640,255,3549779,0.46679119590144963
58776508-www-elastic-co.png,['Supplement'],6457,7008,793440,30,611735,0.7709908751764468
58776508-www-elastic-co.png,['Footer'],7010,7388,544320,30,453056,0.8323339212228101
1b13d380-www-jetbrains-com.png,['Nav'],0,71,102240,19,51576,0.5044600938967136
1b13d380-www-jetbrains-com.png,['Header'],71,856,1130400,0,721039,0.6378618188251947
1b13d380-www-jetbrains-com.png,['Main'],856,11370,15140160,0,9262009,0.6117510647179422
1b13d380-www-jetbrains-com.png,['Supplement'],11368,12016,933120,25,516153,0.5531475051440329
1b13d380-www-jetbrains-com.png,['Footer'],12014,12262,357120,25,324112,0.9075716845878136
f84a315a-www-kubernetes-io.png,['Nav'],0,251,361440,38,250100,0.691954404603807
f84a315a-www-kubernetes-io.png,['Header'],252,1386,1632960,255,1060336,0.6493337252596512
f84a315a-www-kubernetes-io.png,['Main'],1385,3943,3683520,249,1038836,0.2820226305273217
