file_upload,band_label,px_total,px_bg,px_text,px_media,px_button,px_input,px_select,px_textarea,px_role_button,frac_bg,frac_text,frac_media,frac_button,frac_input,frac_select,frac_textarea,frac_role_button
c91ea68d-about-gitlab-com.png,Banner,79200,0,0,0,4270,63,19,43,74805,0.0,0.0,0.0,0.053914141414141414,0.0007954545454545455,0.0002398989898989899,0.000542929292929293,0.9445075757575757
c91ea68d-about-gitlab-com.png,Nav,116640,0,0,0,25188,278,32,88,91054,0.0,0.0,0.0,0.21594650205761318,0.0023834019204389575,0.00027434842249657066,0.0007544581618655693,0.7806412894375857
c91ea68d-about-gitlab-com.png,Header,2403360,0,221192,636815,69970,22688,1322,1923,1449450,0.0,0.09203448505425738,0.26496862725517606,0.029113407895612807,0.009440117169296318,0.0005500632447906264,0.0008001298182544438,0.6030931695626124
c91ea68d-about-gitlab-com.png,Main,6996960,3130,1816521,2072,6533,3772,3981,4793,5156158,0.00044733712926756764,0.2596157474103039,0.00029612860442249203,0.0009336912030367474,0.000539091262491139,0.0005689613775125197,0.0006850117765429558,0.7369140312364226
c91ea68d-about-gitlab-com.png,Supplement,1133280,0,981673,50,10423,347,71,104,140612,0.0,0.8662228222504589,4.411972328109558e-05,0.009197197515177185,0.0003061908795708033,6.265000705915573e-05,9.176902442467881e-05,0.12407525060002823
c91ea68d-about-gitlab-com.png,Footer,224640,0,217605,0,0,0,0,0,7035,0.0,0.9686832264957265,0.0,0.0,0.0,0.0,0.0,0.031316773504273504
215c083d-airbyte-com.png,Banner,43200,0,5376,0,0,0,0,0,37824,0.0,0.12444444444444444,0.0,0.0,0.0,0.0,0.0,0.8755555555555555
215c083d-airbyte-com.png,Nav,103680,0,1391,73,47,105,76,346,101642,0.0,0.01341628086419753,0.0007040895061728395,0.0004533179012345679,0.0010127314814814814,0.0007330246913580247,0.0033371913580246913,0.9803433641975309
215c083d-airbyte-com.png,Header,1375200,0,143398,133,1889,2800,4959,8961,1213060,0.0,0.10427428737638161,9.67132053519488e-05,0.0013736183827806865,0.002036067481093659,0.003606020942408377,0.006516143106457243,0.8820971495055264
215c083d-airbyte-com.png,Supplement,668160,15,598807,246,200,246,184,438,68024,2.244971264367816e-05,0.8962030052681992,0.00036817528735632183,0.0002993295019157088,0.00036817528735632183,0.0002753831417624521,0.0006555316091954023,0.10180795019157088
215c083d-airbyte-com.png,Footer,218880,0,214720,0,0,1280,0,0,2880,0.0,0.9809941520467836,0.0,0.0,0.005847953216374269,0.0,0.0,0.013157894736842105
215c083d-airbyte-com.png,Main,10304640,2266797,1838458,40964,63148,55880,55917,54096,5929380,0.21997828162847027,0.17841069654058755,0.003975296565430718,0.00612811316067325,0.005422799826097758,0.005426390441587479,0.005249673933296069,0.5754087479038569
350832fc-aws-amazon-com.png,Nav,174240,0,12014,48612,25884,83,92,114,87441,0.0,0.06895087235996326,0.27899449035812673,0.14855371900826447,0.0004763544536271809,0.0005280073461891644,0.0006542699724517906,0.5018422865013774
350832fc-aws-amazon-com.png,Header,5353920,0,510984,8489,1564270,808,493,769,3268107,0.0,0.09544109736417429,0.0015855672105672106,0.29217283784591475,0.0001509174586097663,9.208206323590939e-05,0.00014363307632538403,0.6104138649811727
350832fc-aws-amazon-com.png,Supplement,817920,0,681219,466,7488,159,190,255,128143,0.0,0.8328675176056338,0.0005697378716744914,0.009154929577464789,0.0001943955399061033,0.00023229655712050077,0.00031176643192488263,0.15666935641627544
350832fc-aws-amazon-com.png,Footer,204480,0,196350,0,0,1,0,0,8129,0.0,0.9602406103286385,0.0,0.0,4.8904538341158055e-06,0.0,0.0,0.039754499217527384
350832fc-aws-amazon-com.png,Main,19199520,0,901522,11549,1622327,89564,542,839,16573177,0.0,0.04695544471945132,0.0006015254548030367,0.08449831037442602,0.004664908289373901,2.8229872413477004e-05,4.369900914189521e-05,0.8632078822803904
5ddc004d-cloud-google-com.png,Header,1261440,0,29379,12,0,443,38,31,1231537,0.0,0.023290049467275496,9.512937595129377e-06,0.0,0.0003511859462201928,3.0124302384576358e-05,2.4575088787417554e-05,0.9762945522577372
5ddc004d-cloud-google-com.png,Nav,100800,0,0,0,0,0,0,0,100800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5ddc004d-cloud-google-com.png,Supplement,751680,0,295249,0,0,118,39,412,455862,0.0,0.3927854938271605,0.0,0.0,0.00015698169433801617,5.188378033205619e-05,0.000548105576841209,0.6064575351213283
5ddc004d-cloud-google-com.png,Footer,156960,0,40183,0,0,13,0,36,116728,0.0,0.2560079001019368,0.0,0.0,8.28236493374108e-05,0.0,0.00022935779816513763,0.7436799184505607
5ddc004d-cloud-google-com.png,Main,8197920,527408,1075827,122538,61110,42723,51239,60733,6256342,0.0643343677420614,0.1312317026758007,0.014947450084899585,0.007454329878798524,0.005211443878447216,0.006250243964322657,0.0074083426039775946,0.7631621191716923
f052f5fa-huggingface-co.png,Nav,103680,0,73,9,3864,14976,17,29,84712,0.0,0.0007040895061728395,8.680555555555556e-05,0.03726851851851852,0.14444444444444443,0.00016396604938271605,0.0002797067901234568,0.8170524691358024
f052f5fa-huggingface-co.png,Header,1028160,0,731115,7516,5630,4224,3773,3716,272186,0.0,0.7110906862745098,0.007310146280734516,0.005475801431683785,0.004108309990662932,0.003669662309368192,0.0036142234671646435,0.2647311702458761
f052f5fa-huggingface-co.png,Main,6901920,3214,618858,37396,34967,10338,38215,11626,6147306,0.0004656675243990078,0.08966461506363446,0.005418202471196421,0.005066271414331085,0.0014978440781695528,0.005536865104202889,0.0016844588172566473,0.89066607552681
